,state,year,state_abbv,TEMP_F,bike_deaths,vmt,Survey,Population,Commuters,Bicycle commuters
150,Montana,2013,MT,44.1,1,12030.0,ACS5,998554,469319,6554
151,Montana,2014,MT,-4973.5,2,12407.0,ACS5,1006370,473349,6119
152,Montana,2015,MT,78.1,1,11833.0,ACS5,1014699,478238,6768
153,Nebraska,2010,NE,38.15,2,20055.0,ACS5,1799125,923456,4256
154,Nebraska,2011,NE,71.6,2,19323.0,ACS5,1813061,928606,4260
155,Nebraska,2014,NE,63.95,2,19833.0,ACS5,1855617,945395,4617
156,Nebraska,2015,NE,59.725,4,18734.0,ACS5,1869365,956034,4784
157,Nevada,2010,NV,75.85,6,20280.0,ACS5,2633331,1235259,6198
158,Nevada,2011,NV,72.5,4,21040.0,ACS5,2673396,1230308,5831
159,Nevada,2012,NV,49.7,3,23936.0,ACS5,2704204,1223670,5652
160,Nevada,2013,NV,73.0,7,24170.0,ACS5,2730066,1215590,5578
161,Nevada,2014,NV,68.9375,8,25296.0,ACS5,2761584,1225882,5844
162,Nevada,2015,NV,75.3333333333,10,23834.0,ACS5,2798636,1251879,5417
163,New Hampshire,2011,NH,60.475,4,12760.0,ACS5,1315911,678368,1904
164,New Hampshire,2013,NH,58.15,4,12786.0,ACS5,1319171,674692,1589
165,New Hampshire,2014,NH,67.7666666667,3,13069.0,ACS5,1321069,676708,1547
166,New Hampshire,2015,NH,68.3333333333,3,12147.0,ACS5,1324201,682019,1683
167,New Jersey,2010,NJ,61.2230769231,13,73523.0,ACS5,8721577,4122554,13438
168,New Jersey,2011,NJ,67.2411764706,17,71829.0,ACS5,8753064,4121378,13081
169,New Jersey,2012,NJ,-719.353846154,14,73864.0,ACS5,8793888,4127735,13924
170,New Jersey,2013,NJ,56.5285714286,14,73577.0,ACS5,8832406,4107798,14821
171,New Jersey,2014,NJ,58.0454545455,11,73761.0,ACS5,8874374,4144855,15152
172,New Jersey,2015,NJ,66.7055555556,18,69427.0,ACS5,8904413,4190538,14214
173,New Mexico,2010,NM,59.9375,8,26323.0,ACS5,2013122,874958,5731
174,New Mexico,2011,NM,68.0,4,24815.0,ACS5,2037136,875392,6097
175,New Mexico,2012,NM,55.3857142857,7,25398.0,ACS5,2055287,873552,6154
176,New Mexico,2013,NM,76.375,4,25335.0,ACS5,2069706,868937,6312
177,New Mexico,2014,NM,62.825,5,25746.0,ACS5,2080085,869118,6382
178,New Mexico,2015,NM,66.0714285714,7,23804.0,ACS5,2084117,871117,6536
179,New York,2010,NY,63.7472222222,36,134445.0,ACS5,19229752,8815965,40141
180,New York,2011,NY,59.2303571429,57,129542.0,ACS5,19302448,8837690,42047
181,New York,2012,NY,64.0380952381,45,127619.0,ACS5,19398125,8877453,44548
