Year,Survey,Geography,Population,Commuters,Bicycle commuters
2015,ACS5,WV,1851420,735009,956
2015,ACS5,WY,579679,289747,2570
2015,ACS1,US,316515021,143621171,860362
2015,ACS1,AK,733375,356987,3583
2015,ACS1,AL,4830620,1995472,2453
2015,ACS1,AR,2958208,1236999,1847
2015,ACS1,AZ,6641928,2777754,27816
2015,ACS1,CA,38421464,16869052,188736
2015,ACS1,CO,5278906,2606591,34698
2015,ACS1,CT,3593222,1748352,5426
2015,ACS1,DC,647484,335224,13434
2015,ACS1,DE,926454,427787,1313
2015,ACS1,FL,19645772,8432513,57987
2015,ACS1,GA,10006693,4341894,10009
2015,ACS1,HI,1406299,678279,7272
2015,ACS1,IA,3093526,1546601,8133
2015,ACS1,ID,1616547,704276,6831
2015,ACS1,IL,12873761,5983836,37314
2015,ACS1,IN,6568645,2986176,14773
2015,ACS1,KS,2892987,1393853,4584
2015,ACS1,KY,4397353,1864524,4327
2015,ACS1,LA,4625253,1986355,10029
2015,ACS1,MA,6705586,3346749,25680
2015,ACS1,MD,5930538,2942352,9138
2015,ACS1,ME,1329100,635475,2617
2015,ACS1,MI,9900571,4279616,19582
2015,ACS1,MN,5419171,2776528,22727
2015,ACS1,MO,6045448,2775023,6722
2015,ACS1,MS,2988081,1189806,1547
2015,ACS1,MT,1014699,478238,6768
2015,ACS1,NC,9845333,4361591,10772
2015,ACS1,ND,721640,385843,1518
2015,ACS1,NE,1869365,956034,4784
2015,ACS1,NH,1324201,682019,1683
2015,ACS1,NJ,8904413,4190538,14214
2015,ACS1,NM,2084117,871117,6536
2015,ACS1,NV,2798636,1251879,5417
2015,ACS1,NY,19673174,9064986,55577
2015,ACS1,OH,11575977,5263292,15903
2015,ACS1,OK,3849733,1705849,4259
2015,ACS1,OR,3939233,1751088,42231
2015,ACS1,PA,12779559,5879935,28274
2015,ACS1,PR,3583073,1026779,2116
2015,ACS1,RI,1053661,507116,2007
2015,ACS1,SC,4777576,2062681,6618
2015,ACS1,SD,843190,425712,2373
2015,ACS1,TN,6499615,2843629,4068
2015,ACS1,TX,26538614,11966019,33176
2015,ACS1,UT,2903379,1319944,11339
2015,ACS1,VA,8256630,4020679,16263
2015,ACS1,VT,626604,318435,2541
2015,ACS1,WA,6985464,3236166,29888
2015,ACS1,WI,5742117,2835551,22049
2015,ACS1,WV,1851420,735009,956
2015,ACS1,WY,579679,289747,2570
