YEAR,STATE,Postal code,VMT,VMT (B),YEAR_STATE,Total deaths,Deaths per BVMT,Deaths involving drivers under 16,Deaths involving drivers under 16 per BVMT,Deaths involving drivers between 25 & 44,Deaths involving drivers between 25 & 44 per BVMT,Multi-vehicle deaths,Multi-vehicle deaths per BVMT,Bicyclist deaths,Bicyclist deaths per BVMT
2009,53,WA,57052,57.052,2009-53,492,8.623711701605552,2,0.035055738624412816,222,3.8911869873098226,192,3.3653509079436303,9,0.15775082380985767
2009,54,WV,20849,20.849,2009-54,357,17.123123411194783,2,0.09592786224758981,158,7.578301117559595,135,6.475130701712312,0,0
2009,55,WI,58378,58.378,2009-55,561,9.609784507862551,8,0.13703792524581176,218,3.7342834629483708,248,4.2481756826201655,7,0.1199081845900853
2009,56,WY,9519,9.519,2009-56,133,13.972055888223553,0,0,43,4.5172812270196445,40,4.202122071646182,2,0.21010610358230905
2010,1,AL,56273,56.273,2010-1,862,15.318181010431289,7,0.12439358129120537,427,7.588008458763527,370,6.575089296820855,6,0.10662306967817603
2010,2,AK,5047,5.047,2010-2,56,11.095700416088766,1,0.19813750743015654,24,4.755300178323757,26,5.15157519318407,0,0
2010,4,AZ,61720,61.72,2010-4,759,12.29747245625405,2,0.03240440699935191,352,5.703175631885936,288,4.666234607906675,19,0.30784186649384315
2010,5,AR,33540,33.54,2010-5,571,17.024448419797256,1,0.02981514609421586,282,8.407871198568873,229,6.827668455575433,2,0.05963029218843172
2010,6,CA,323272,323.272,2010-6,2720,8.413967185527977,10,0.030933702887970503,1267,3.9193001559058627,1187,3.671830532802099,100,0.30933702887970504
2010,8,CO,47143,47.143,2010-8,450,9.545425619922364,3,0.06363617079948243,211,4.47574401289693,193,4.093926988100036,8,0.16969645546528647
2010,9,CT,32032,32.032,2010-9,320,9.990009990009991,0,0,154,4.807692307692308,123,3.83991008991009,7,0.21853146853146854
2010,10,DE,9178,9.178,2010-10,101,11.004576160383525,1,0.10895619960775767,51,5.556766179995641,48,5.229897581172368,2,0.21791239921551533
2010,11,DC,3801,3.801,2010-11,24,6.314127861089187,0,0,12,3.1570639305445933,5,1.3154433043935805,2,0.5261773217574323
2010,12,FL,194321,194.321,2010-12,2444,12.577127536395963,12,0.06175349035873632,1122,5.773951348541845,1097,5.645298243627812,83,0.42712830831459286
