Year,State,Population,Commuters,Bicycle commuters,VMT,No. deaths,Deaths per B miles
2013,OK,3785742,1673026,4227,48846,678,1.3880358678295048
2013,OR,3868721,1700451,39789,33766,313,0.9269679559320025
2013,PA,12731381,5794492,26659,98694,1210,1.2260117129714065
2013,RI,1051695,499689,2282,7906,65,0.8221603845180876
2013,SC,4679602,1994198,6393,49562,767,1.5475565957790243
2013,SD,825198,414301,2370,8926,135,1.5124355814474568
2013,TN,6402387,2757174,3900,71450,995,1.3925822253324003
2013,TX,25639373,11445014,30416,246103,3389,1.377065700133684
2013,UT,2813673,1259283,10619,26479,220,0.8308470863703312
2013,VT,625904,316127,2509,7161,69,0.9635525764558024
2013,VA,8100653,3919771,14590,79896,740,0.9262040652848703
2013,WA,6819579,3126887,27734,56704,436,0.7689051918735892
2013,WV,1853619,738386,813,18685,332,1.7768263312817767
2013,WI,5706871,2792190,21274,54839,543,0.9901712285052608
2013,WY,570134,286750,2469,9233,86,0.9314415682876639
2014,AL,4817678,1983227,2490,66241,820,1.2379040171494997
2014,AK,728300,353493,3658,4890,73,1.492842535787321
2014,AZ,6561516,2720076,26629,61529,773,1.2563181589169334
2014,AR,2947036,1232572,1653,33723,470,1.3937075586395042
2014,CA,38066920,16529777,182718,336442,3102,0.9220014148055237
2014,CO,5197580,2544021,33553,48927,488,0.9974042961963742
2014,CT,3592053,1734798,5264,31055,248,0.7985831589116085
2014,DE,917060,419999,1253,9340,124,1.3276231263383298
2014,FL,19361792,8228557,55846,197738,2494,1.2612649060878536
2014,GA,9907756,4253203,9695,111463,1164,1.0442927249401146
2014,HI,1392704,668457,6994,11454,95,0.8294045748210231
2014,ID,1599464,691425,7158,16383,186,1.1353232008789598
2014,IL,12868747,5928078,35651,105986,924,0.871813258354877
2014,IN,6542411,2942663,14352,83156,745,0.8959064890086103
2014,IA,3078116,1535285,7833,31762,322,1.0137900635980102
2014,KS,2882946,1383284,4738,30591,385,1.2585400934915498
2014,KY,4383272,1845143,4332,47334,672,1.419698314108252
2014,LA,4601049,1970623,9211,48172,740,1.5361620858590053
2014,ME,1328535,632757,3164,14116,131,0.9280249362425617
2014,MD,5887776,2913869,8553,57417,442,0.7698068516293084
2014,MA,6657291,3284998,24645,56854,354,0.6226474830266999
2014,MI,9889024,4199791,18880,95793,901,0.9405697702337332
2014,MN,5383661,2733199,20842,56886,361,0.6346025384101536
2014,MS,2984345,1183892,1327,39611,607,1.5324026154351065
2014,MO,6028076,2747017,7017,70235,766,1.0906243325977076
2014,MT,1006370,473349,6119,12407,192,1.547513500443298
2014,NE,1855617,945395,4617,19833,225,1.1344728482831645
2014,NV,2761584,1225882,5844,25296,291,1.1503795066413662
2014,NH,1321069,676708,1547,13069,95,0.7269110107888898
