auto_braking,make,model,model joinable,warning,year,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR
Not available,Chevrolet,Colorado crew cab pickup,Chevrolet Colorado,Optional,2016,20,473,20473,30,2006
Not available,Chevrolet,Colorado crew cab pickup 4WD,Chevrolet Colorado,Optional,2016,20,473,20473,30,2006
Not available,Chevrolet,Colorado ext cab pickup,Chevrolet Colorado,Optional,2016,20,473,20473,30,2006
Not available,Chevrolet,Colorado ext cab pickup 4WD,Chevrolet Colorado,Optional,2016,20,473,20473,30,2006
Not available,Chevrolet,Cruze 4dr,Chevrolet Cruze,Optional,2016,20,25,20025,4,2015
Not available,Chevrolet,Equinox 4dr,Chevrolet Equinox,Optional,2016,20,404,20404,14,2006
Not available,Chevrolet,Equinox 4dr 4WD,Chevrolet Equinox,Optional,2016,20,404,20404,14,2006
Optional,Chevrolet,Impala 4dr,Chevrolet Impala,Optional,2016,20,2,20002,4,2005
Optional,Chevrolet,Malibu 4dr,Chevrolet Malibu,Optional,2016,20,37,20037,4,2008
Optional,Chevrolet,Malibu hybrid 4dr,Chevrolet Malibu,Optional,2016,20,37,20037,4,2008
Not available,Chevrolet,Malibu Limited 4dr,Chevrolet Malibu,Optional,2016,20,37,20037,4,2008
Not available,Chevrolet,Silverado 1500 crew cab pickup,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 1500 crew cab pickup 4WD,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 1500 ext. cab pickup,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 1500 ext. cab pickup 4WD,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 1500 pickup,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 1500 pickup 4WD,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 2500 crew cab pickup,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 2500 crew cab pickup 4WD,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
Not available,Chevrolet,Silverado 2500 ext. cab pickup,Chevrolet Silverado,Optional,2016,20,481,20481,31,2003
