auto_braking,make,model,warning,year
Not available,Mercedes-Benz,E class 4dr,Optional,2003
Not available,Mercedes-Benz,S class 4dr,Optional,2003
Not available,Mercedes-Benz,S class 4dr 4WD,Optional,2003
Not available,Mercedes-Benz,SL class convertible,Optional,2003
Not available,BMW,325ci 2dr,Not available,2004
Not available,BMW,325ci convertible,Not available,2004
Not available,BMW,325i 4dr,Not available,2004
Not available,BMW,325iT station wagon,Not available,2004
Not available,BMW,325Xi 4dr 4WD,Not available,2004
Not available,BMW,325XiT station wagon 4WD,Not available,2004
Not available,BMW,330ci 2dr,Not available,2004
Not available,BMW,330ci convertible,Not available,2004
Not available,BMW,330i 4dr,Not available,2004
Not available,BMW,330Xi 4dr 4WD,Not available,2004
Not available,BMW,525i 4dr,Not available,2004
Not available,BMW,530i 4dr,Not available,2004
Not available,BMW,545i 4dr,Not available,2004
Not available,BMW,745i 4dr,Not available,2004
Not available,BMW,745Li 4dr,Not available,2004
Not available,BMW,760li 4dr,Not available,2004
Not available,BMW,M3 2dr,Not available,2004
Not available,BMW,M3 convertible,Not available,2004
Not available,BMW,X3 4dr 4WD,Not available,2004
Not available,Jaguar,S-type 4dr,Optional,2004
Not available,Jaguar,XJR 4dr SWB,Standard,2004
Not available,Lexus,LS 430 4dr,Optional,2004
Not available,Maybach,57 4dr,Standard,2004
Not available,Maybach,62 4dr,Standard,2004
Not available,Mercedes-Benz,CL class 2dr,Optional,2004
Not available,Mercedes-Benz,CLK class 2dr,Optional,2004
Not available,Mercedes-Benz,CLK class convertible,Optional,2004
Not available,Mercedes-Benz,E class 4dr,Optional,2004
Not available,Mercedes-Benz,E class 4dr 4WD,Optional,2004
Not available,Mercedes-Benz,E class station wagon,Optional,2004
Not available,Mercedes-Benz,E class station wagon 4WD,Optional,2004
Not available,Mercedes-Benz,S class 4dr,Optional,2004
Not available,Mercedes-Benz,S class 4dr 4WD,Optional,2004
Not available,Mercedes-Benz,SL class convertible,Optional,2004
Not available,Acura,RL 4dr 4WD,Not available,2005
Not available,Audi,A6 4dr 4WD,Not available,2005
Not available,BMW,325ci 2dr,Not available,2005
Not available,BMW,325ci convertible,Not available,2005
Not available,BMW,330ci 2dr,Not available,2005
Not available,BMW,330ci convertible,Not available,2005
Not available,BMW,525i 4dr,Not available,2005
Not available,BMW,530i 4dr,Not available,2005
Not available,BMW,545i 4dr,Not available,2005
Not available,BMW,645ci 2dr,Not available,2005
Not available,BMW,645ci convertible,Not available,2005
Not available,BMW,745i 4dr,Not available,2005
Not available,BMW,745Li 4dr,Not available,2005
Not available,BMW,760i 4dr,Not available,2005
Not available,BMW,760li 4dr,Not available,2005
Not available,BMW,X3 4dr 4WD,Not available,2005
Not available,BMW,X5 4dr 4WD,Not available,2005
Not available,Infiniti,FX35 4dr,Not available,2005
Not available,Infiniti,FX35 4dr 4WD,Not available,2005
Not available,Infiniti,FX45 4dr 4WD,Not available,2005
Not available,Jaguar,S-type 4dr,Optional,2005
Not available,Jaguar,Super V8 4dr LWB,Standard,2005
Not available,Jaguar,XJR 4dr SWB,Standard,2005
Not available,Jaguar,XK8 2dr,Optional,2005
Not available,Jaguar,XK8 convertible,Optional,2005
Not available,Jaguar,XKR 2dr,Optional,2005
Not available,Jaguar,XKR convertible,Optional,2005
Not available,Land Rover,LR3 4dr 4WD,Not available,2005
Not available,Lexus,LS 430 4dr,Optional,2005
Not available,Lexus,RX 330 4dr,Not available,2005
Not available,Lexus,RX 330 4dr 4WD,Not available,2005
Not available,Maybach,57 4dr,Standard,2005
Not available,Maybach,62 4dr,Standard,2005
Not available,Mercedes-Benz,CL class 2dr,Optional,2005
Not available,Mercedes-Benz,CLK class 2dr,Optional,2005
Not available,Mercedes-Benz,CLK class convertible,Optional,2005
Not available,Mercedes-Benz,E class 4dr,Optional,2005
Not available,Mercedes-Benz,E class 4dr 4WD,Optional,2005
Not available,Mercedes-Benz,E class station wagon,Optional,2005
Not available,Mercedes-Benz,E class station wagon 4WD,Optional,2005
Not available,Mercedes-Benz,S class 4dr,Optional,2005
Not available,Mercedes-Benz,S class 4dr 4WD,Optional,2005
Not available,Mercedes-Benz,SL class convertible,Optional,2005
Optional,Acura,RL 4dr 4WD,Optional,2006
Not available,Audi,A4 4dr,Not available,2006
Not available,Audi,A4 4dr 4WD,Not available,2006
Not available,Audi,A4 station wagon 4WD,Not available,2006
Not available,Audi,A6 4dr,Not available,2006
Not available,Audi,A6 4dr 4WD,Not available,2006
Not available,Audi,A6 station wagon 4WD,Not available,2006
Not available,Audi,A8 4dr 4WD,Not available,2006
Not available,Audi,A8L 4dr 4WD,Not available,2006
Not available,BMW,325ci 2dr,Not available,2006
Not available,BMW,325ci convertible,Not available,2006
Not available,BMW,325i 4dr,Not available,2006
Not available,BMW,325xi 4dr 4WD,Not available,2006
Not available,BMW,325xiT station wagon 4WD,Not available,2006
Not available,BMW,330ci 2dr,Not available,2006
Not available,BMW,330ci convertible,Not available,2006
Not available,BMW,330i 4dr,Not available,2006
Not available,BMW,330xi 4dr 4WD,Not available,2006
Not available,BMW,525i 4dr,Not available,2006
Not available,BMW,525xi 4dr 4WD,Not available,2006
Not available,BMW,530i 4dr,Not available,2006
